 [sec = 131, musec = 911572]
 [sec = 130, musec = 107683]
 [sec = 130, musec = 87767]
 [sec = 130, musec = 553758]
 [sec = 129, musec = 649186]
 [sec = 130, musec = 871579]
 [sec = 130, musec = 835670]
 [sec = 131, musec = 570638]
 [sec = 12, musec = 443911]
 [sec = 12, musec = 433239]
 [sec = 12, musec = 457992]
 [sec = 12, musec = 357527]
 [sec = 12, musec = 396716]
 [sec = 12, musec = 400891]
 [sec = 12, musec = 371730]
 [sec = 12, musec = 433177]
 [sec = 5, musec = 17897]
 [sec = 5, musec = 5854]
 [sec = 4, musec = 995291]
 [sec = 4, musec = 995999]
 [sec = 5, musec = 15785]
 [sec = 5, musec = 23388]
 [sec = 5, musec = 12407]
 [sec = 5, musec = 24397]
 [sec = 2, musec = 570239]
 [sec = 2, musec = 570334]
 [sec = 2, musec = 549778]
 [sec = 2, musec = 532230]
 [sec = 2, musec = 523561]
 [sec = 2, musec = 539406]
 [sec = 2, musec = 540700]
 [sec = 2, musec = 536818]
 [sec = 1, musec = 376012]
 [sec = 1, musec = 352375]
 [sec = 1, musec = 349886]
 [sec = 1, musec = 309961]
 [sec = 1, musec = 306483]
 [sec = 1, musec = 311043]
 [sec = 1, musec = 310893]
 [sec = 1, musec = 298952]
 [sec = 1, musec = 106871]
 [sec = 1, musec = 120214]
 [sec = 1, musec = 105681]
 [sec = 1, musec = 118775]
 [sec = 1, musec = 108033]
 [sec = 1, musec = 100089]
 [sec = 1, musec = 58804]
 [sec = 1, musec = 128792]
 [sec = 1, musec = 418071]
 [sec = 1, musec = 411247]
 [sec = 1, musec = 392477]
 [sec = 1, musec = 405280]
 [sec = 1, musec = 398724]
 [sec = 1, musec = 369073]
 [sec = 1, musec = 403808]
 [sec = 1, musec = 381788]
