[sec = 10, musec = 878689]
 [sec = 10, musec = 938356]
 [sec = 10, musec = 916266]
 [sec = 10, musec = 948778]
 [sec = 10, musec = 919878]
 [sec = 10, musec = 931862]
 [sec = 10, musec = 963535]
 [sec = 4, musec = 381001]
 [sec = 4, musec = 390337]
 [sec = 4, musec = 399946]
 [sec = 4, musec = 383048]
 [sec = 4, musec = 417281]
 [sec = 4, musec = 387042]
 [sec = 4, musec = 363248]
 [sec = 2, musec = 214614]
 [sec = 2, musec = 234499]
 [sec = 2, musec = 218100]
 [sec = 2, musec = 193961]
 [sec = 2, musec = 220829]
 [sec = 2, musec = 217953]
 [sec = 2, musec = 226707]
 [sec = 1, musec = 201125]
 [sec = 1, musec = 181857]
 [sec = 1, musec = 193998]
 [sec = 1, musec = 196420]
 [sec = 1, musec = 156761]
 [sec = 1, musec = 186602]
 [sec = 1, musec = 160655]
 [sec = 1, musec = 340836]
 [sec = 1, musec = 178443]
 [sec = 1, musec = 181796]
 [sec = 1, musec = 184492]
 [sec = 1, musec = 122372]
 [sec = 1, musec = 158755]
 [sec = 1, musec = 131473]
 [sec = 1, musec = 641211]
 [sec = 1, musec = 380726]
 [sec = 1, musec = 265978]
 [sec = 1, musec = 266645]
 [sec = 1, musec = 203536]
 [sec = 1, musec = 182719]
 [sec = 1, musec = 195533]
