[sec = 10, musec = 899609]
 [sec = 10, musec = 964275]
 [sec = 10, musec = 934051]
 [sec = 10, musec = 954429]
 [sec = 10, musec = 984643]
 [sec = 10, musec = 938087]
 [sec = 10, musec = 926828]
 [sec = 4, musec = 407298]
 [sec = 4, musec = 400048]
 [sec = 4, musec = 400518]
 [sec = 4, musec = 460748]
 [sec = 4, musec = 428872]
 [sec = 4, musec = 418742]
 [sec = 4, musec = 400678]
 [sec = 2, musec = 243616]
 [sec = 2, musec = 247448]
 [sec = 2, musec = 211146]
 [sec = 2, musec = 253553]
 [sec = 2, musec = 238052]
 [sec = 2, musec = 248711]
 [sec = 2, musec = 214568]
 [sec = 1, musec = 249291]
 [sec = 1, musec = 194956]
 [sec = 1, musec = 167041]
 [sec = 1, musec = 172600]
 [sec = 1, musec = 134977]
 [sec = 1, musec = 167012]
 [sec = 1, musec = 186417]
 [sec = 1, musec = 274763]
 [sec = 1, musec = 195739]
 [sec = 1, musec = 160641]
 [sec = 1, musec = 217793]
 [sec = 1, musec = 160617]
 [sec = 1, musec = 147499]
 [sec = 1, musec = 135595]
 [sec = 1, musec = 392902]
 [sec = 1, musec = 333568]
 [sec = 1, musec = 315135]
 [sec = 1, musec = 284965]
 [sec = 1, musec = 272574]
 [sec = 1, musec = 275775]
 [sec = 1, musec = 194754]
